state,column,ballotPosition,surname,ballotGivenName,groupName,partyBallotName
VIC,Q,3,IAMPOLSKI,Rachel,The Greens,The Greens
VIC,Q,4,SLATER,Maddie,The Greens,The Greens
VIC,Q,5,HENDERSON,Brittney,The Greens,The Greens
VIC,Q,6,YAWARI,Nasser,The Greens,The Greens
VIC,R,1,BARWICK,Robert,Citizens Party,Citizens Party
VIC,R,2,YOHANNA,Sleiman,Citizens Party,Citizens Party
VIC,S,1,CONSTANTINOU,Ethan,"Shooters, Fishers and Farmers Party","Shooters, Fishers and Farmers Party"
VIC,S,2,VICKERS,Ken,"Shooters, Fishers and Farmers Party","Shooters, Fishers and Farmers Party"
VIC,T,1,SAINI,Raj,,
VIC,T,2,ALLE,Kirti,,
VIC,T,3,KANAKAGIRI,Yashaswini Srinivas,,
VIC,UG,1,CHEUNG,Heena Sinha,,Independent
VIC,UG,2,ABEYSINGHE,Susantha,,Independent
VIC,UG,3,LEWAND,Viesha,,Independent
VIC,UG,4,HARVEY,Lawrence,,Independent
VIC,UG,5,CORBETT,Cory,,Independent
VIC,UG,6,BLACK,K,,Independent
VIC,UG,7,VAN,David,,Independent
VIC,UG,8,RITTER,Nate,,Independent
WA,A,1,CULLERTON,Rodney,The Great Australian Party,The Great Australian Party
WA,A,2,NEWTON-WORDSWORTH,William,The Great Australian Party,The Great Australian Party
WA,B,1,KLOMP,Steve,Australian Christians,Australian Christians
WA,B,2,NG,Joan Lee,Australian Christians,Australian Christians
WA,C,1,NOVAKOVICH,Aisha Nancy,Citizens Party,Citizens Party
WA,C,2,RYLES,Rex Michael,Citizens Party,Citizens Party
WA,D,1,BANNISTER,Melissa,Trumpet of Patriots,Trumpet of Patriots
WA,D,2,MONGAN,Trent Kenneth,Trumpet of Patriots,Trumpet of Patriots
WA,D,3,ROBINS,Peter,Trumpet of Patriots,Trumpet of Patriots
WA,D,4,STEWART,Lincoln,Trumpet of Patriots,Trumpet of Patriots
WA,E,1,OBORN,Karen,Sustainable Australia Party - Universal Basic Income,Sustainable Australia Party - Universal Basic Income
WA,E,2,OOSTRYCK,Ryan,Sustainable Australia Party - Universal Basic Income,Sustainable Australia Party - Universal Basic Income
WA,F,1,MITCHELL,Elana,Australian Democrats,Australian Democrats
WA,F,2,SIMSON,Simon,Australian Democrats,Australian Democrats
WA,G,1,BURNS,Ryan,Libertarian,Libertarian
WA,G,2,NICOL,Gary,Libertarian,Libertarian
WA,H,1,KING,Madison,Gerard Rennick People First,Gerard Rennick People First
WA,H,2,CLUNE,Jody,Gerard Rennick People First,Gerard Rennick People First
WA,I,1,STEELE-JOHN,Jordon,The Greens (WA) Inc,The Greens (WA) Inc
WA,I,2,COLLINS,Simone,The Greens (WA) Inc,The Greens (WA) Inc
WA,I,3,CLARKE,Donald,The Greens (WA) Inc,The Greens (WA) Inc
